Age,Age_sq,GP,MP,PTS_per_GP,TRB_per_GP,AST_per_GP,STL_per_GP,BLK_per_GP,TRB_per_min,AST_per_min,STL_per_min,BLK_per_min,FG%,3P%,FT%,USG%,BPM,VORP,AST_to_TOV,STL_BLK_sum,Toxic_Contract,Position_Clean,Experience_Category
35,82.13682820675828,18,9.0,0.15555555555555556,0.09444444444444444,0.044444444444444446,0.022222222222222223,0.016666666666666666,0.18888888888888888,0.08888888888888889,0.044444444444444446,0.03333333333333333,0.449,0.2,0.5,15.7,-4.4,-0.1,2.0,0.7,0,PF,Veteran
21,24.37459044452051,50,28.3,0.226,0.162,0.027999999999999997,0.008,0.013999999999999999,0.2862190812720848,0.04946996466431095,0.014134275618374558,0.024734982332155476,0.442,0.327,0.738,17.3,-2.1,0.0,1.0,1.1,0,C,Rookie
19,48.122842192772254,41,12.5,0.07560975609756097,0.04390243902439025,0.012195121951219513,0.004878048780487805,0.004878048780487805,0.14400000000000002,0.04,0.016,0.016,0.415,0.419,0.875,10.4,-3.1,-0.1,1.6666666666666667,0.4,0,SG,Rookie
23,8.626338696268764,73,24.9,0.13835616438356163,0.05205479452054794,0.01780821917808219,0.010958904109589041,0.00684931506849315,0.15261044176706828,0.052208835341365466,0.032128514056224904,0.020080321285140562,0.427,0.366,0.838,16.8,-3.0,-0.4,1.3,1.3,0,SF,Prime
26,0.003961073891143875,83,35.7,0.2421686746987952,0.05301204819277109,0.03975903614457831,0.013253012048192772,0.008433734939759036,0.12324929971988796,0.09243697478991596,0.03081232492997199,0.019607843137254898,0.468,0.382,0.895,22.6,1.7,2.8,2.1999999999999997,1.8,0,SF,Prime
24,3.7522128221428903,60,29.6,0.23333333333333334,0.065,0.095,0.025,0.006666666666666667,0.13175675675675674,0.19256756756756757,0.05067567567567567,0.013513513513513514,0.514,0.31,0.783,21.3,0.5,1.2,2.4782608695652177,1.9,0,PG,Prime
25,0.8780869480170171,65,18.7,0.12615384615384614,0.09846153846153846,0.00923076923076923,0.003076923076923077,0.016923076923076926,0.34224598930481287,0.03208556149732621,0.010695187165775402,0.05882352941176471,0.629,1.0,0.749,15.6,-1.3,0.2,0.6666666666666666,1.3,0,C,Prime
25,0.8780869480170171,17,3.9,0.07058823529411765,0.058823529411764705,0.011764705882352941,0.011764705882352941,0.0058823529411764705,0.25641025641025644,0.05128205128205129,0.05128205128205129,0.025641025641025644,0.421,0.333,0.667,14.7,-1.9,0.0,2.0,0.30000000000000004,0,SF,Prime
26,0.003961073891143875,54,12.7,0.08888888888888889,0.025925925925925925,0.009259259259259259,0.007407407407407408,0.001851851851851852,0.11023622047244094,0.03937007874015748,0.03149606299212599,0.007874015748031498,0.363,0.35,0.906,14.7,-2.4,-0.1,1.25,0.5,0,SG,Prime
21,24.37459044452051,76,28.3,0.1355263157894737,0.038157894736842106,0.08157894736842106,0.018421052631578946,0.005263157894736842,0.10247349823321554,0.21908127208480566,0.04946996466431095,0.014134275618374558,0.377,0.28,0.821,20.5,-3.8,-1.0,2.695652173913044,1.7999999999999998,0,PG,Rookie
27,1.1298351997652707,40,8.1,0.06,0.04,0.03,0.005,0.0,0.19753086419753088,0.14814814814814814,0.02469135802469136,0.0,0.356,0.355,0.846,14.7,-3.4,-0.1,4.0,0.2,0,SG,Prime
23,8.626338696268764,9,5.6,0.1111111111111111,0.044444444444444446,0.03333333333333333,0.0,0.0,0.07142857142857144,0.053571428571428575,0.0,0.0,0.214,0.25,0.773,12.8,-10.6,-0.1,2.9999999999999996,0.0,0,SF,Prime
22,15.500464570394637,38,31.0,0.4868421052631579,0.10263157894736842,0.09473684210526316,0.028947368421052635,0.010526315789473684,0.12580645161290321,0.11612903225806452,0.035483870967741936,0.012903225806451613,0.439,0.387,0.78,24.4,0.4,0.7,2.4,1.5,0,SG,Rookie
23,8.626338696268764,5,5.8,0.48,0.44000000000000006,0.04,0.0,0.08,0.37931034482758624,0.034482758620689655,0.0,0.06896551724137931,0.667,0.3105,0.0,16.1,-3.4,0.0,1.0,0.4,0,C,Prime
27,1.1298351997652707,74,16.9,0.1027027027027027,0.0554054054054054,0.012162162162162163,0.005405405405405406,0.005405405405405406,0.24260355029585798,0.053254437869822494,0.02366863905325444,0.02366863905325444,0.458,0.363,0.815,18.1,-1.0,0.3,1.0,0.8,0,PF,Prime
25,0.8780869480170171,66,34.4,0.3878787878787879,0.1303030303030303,0.028787878787878786,0.00909090909090909,0.00909090909090909,0.25,0.055232558139534885,0.01744186046511628,0.01744186046511628,0.499,0.391,0.875,26.6,3.8,3.3,1.0,1.2,0,PF,Prime
34,65.01095408088416,47,35.6,0.6191489361702128,0.1425531914893617,0.10638297872340426,0.014893617021276595,0.02978723404255319,0.18820224719101122,0.14044943820224717,0.019662921348314606,0.03932584269662921,0.56,0.404,0.919,30.7,7.1,3.9,1.5151515151515151,2.0999999999999996,0,PF,Veteran
34,65.01095408088416,69,28.5,0.17971014492753623,0.02753623188405797,0.0391304347826087,0.008695652173913044,0.005797101449275362,0.06666666666666667,0.09473684210526316,0.021052631578947368,0.014035087719298246,0.446,0.371,0.821,17.8,-1.9,0.1,1.8,1.0,0,SG,Veteran
26,0.003961073891143875,59,22.3,0.1576271186440678,0.04576271186440678,0.025423728813559324,0.00847457627118644,0.0016949152542372883,0.1210762331838565,0.06726457399103139,0.02242152466367713,0.004484304932735426,0.492,0.494,0.949,14.5,0.5,0.8,1.875,0.6,0,SG,Prime
30,16.50745757738765,52,19.5,0.09423076923076924,0.03076923076923077,0.02692307692307692,0.009615384615384616,0.0019230769230769232,0.08205128205128205,0.07179487179487179,0.02564102564102564,0.005128205128205128,0.435,0.35,0.769,10.5,-2.8,-0.2,3.4999999999999996,0.6,0,SG,Veteran
31,25.633331703261778,33,24.3,0.4575757575757576,0.1272727272727273,0.1484848484848485,0.02121212121212121,0.006060606060606061,0.1728395061728395,0.20164609053497942,0.028806584362139915,0.00823045267489712,0.436,0.315,0.902,27.4,0.8,0.6,2.227272727272727,0.8999999999999999,0,SF,Veteran
19,48.122842192772254,80,22.2,0.12375,0.0375,0.015,0.00625,0.00375,0.13513513513513514,0.05405405405405406,0.022522522522522525,0.013513513513513514,0.472,0.36,0.714,19.0,-3.3,-0.6,1.2,0.8,0,SG,Rookie
23,8.626338696268764,77,27.6,0.17922077922077922,0.06103896103896104,0.01948051948051948,0.011688311688311689,0.0025974025974025974,0.17028985507246377,0.05434782608695652,0.03260869565217391,0.007246376811594203,0.422,0.361,0.861,20.2,-0.3,0.9,1.6666666666666665,1.1,0,SF,Prime
