Feature,VIF
PTS_per_GP,13.810129729363267
MP,11.114138512378071
STL_BLK_sum,9.760053157231653
TRB_per_GP,9.207822608046042
Age,9.196703077678448
AST_per_min,8.281779014138314
AST_per_GP,7.841643723952529
BLK_per_min,7.08572651036825
BPM,6.088516319085775
STL_per_GP,6.034847738332161
USG%,5.400211327627706
TRB_per_min,5.352244740601911
Experience_Category_Veteran,5.3297970170713045
Experience_Category_Rookie,4.992469346515683
BLK_per_GP,4.864600692154837
GP,4.499936410722236
STL_per_min,4.3933726882666955
VORP,3.879848534298906
FG%,2.939819902467892
AST_to_TOV,2.9240898260121995
Age_sq,2.6326023358412862
Position_Clean_PG,2.204613617865822
Position_Clean_SG,1.9508750152559162
FT%,1.7183763424866916
Position_Clean_SF,1.56250989749628
Position_Clean_PF,1.395998089335851
3P%,1.3434496764544432
