Player,Position,Age,Actual_Salary,Predicted_Salary,Error_USD,Error_Pct
Kemba Walker,PG,32,37281260.99999994,4775209.62004576,32506051.37995418,87.19139457207264
Myles Turner,C,26,35096499.99999995,9420866.403752016,25675633.596247934,73.1572481479577
Russell Westbrook,PG,34,47080179.00000004,28913727.036011606,18166451.96398843,38.586199861280086
Shai Gilgeous-Alexander,PG,24,30913750.0,13049674.091323309,17864075.90867669,57.78682918984818
Jonathan Isaac,PF,25,17399999.999999974,688858.7581613781,16711141.241838597,96.0410416197622
Anfernee Simons,SG,23,22321428.999999993,6542021.722901246,15779407.277098747,70.69174324412094
DeMar DeRozan,SF,33,27300000.00000003,41559776.22693292,14259776.22693289,52.23361255286767
Duncan Robinson,SF,28,16901999.999999978,2650139.1571604144,14251860.842839563,84.32055876724401
Kawhi Leonard,SF,31,42492492.000000045,30394733.1009954,12097758.899004646,28.47034459406295
Pascal Siakam,PF,28,35448671.99999995,26804037.8064681,8644634.193531848,24.386341450342233
Nerlens Noel,C,28,9391069.00000001,874261.4604901568,8516807.539509853,90.69050115071931
Danny Green,SG,35,11710527.999999985,3422160.9743828317,8288367.025617153,70.77705655643506
LeBron James,PF,38,44474988.0,52027455.563169725,7552467.563169725,16.98138190204734
Kevin Huerter,SG,24,14508928.99999999,7355986.593428457,7152942.4065715335,49.30027851519253
Torrey Craig,PF,32,5121950.999999996,11759824.302819869,6637873.302819872,129.59657956157483
Paul George,SF,32,42492492.000000045,36048714.03507397,6443777.964926071,15.164509450107245
Kenrich Williams,PF,28,1999999.9999999993,8033631.55251714,6033631.552517141,301.68157762585713
James Wiseman,C,21,9603360.000000015,3760411.8010189775,5842948.198981037,60.84274877731365
Landry Shamet,SG,25,9499999.999999993,3965452.8242000393,5534547.175799953,58.25839132421008
Kelly Olynyk,C,31,12804877.999999985,18195053.650810856,5390175.650810871,42.094705242883826
CJ McCollum,SG,31,33333332.999999993,27994871.912244443,5338461.08775555,16.015383423420488
Keita Bates-Diop,PF,27,1878720.0000000016,7101724.751419369,5223004.751419367,278.00868417962033
Tyrese Haliburton,PG,22,4215120.000000002,9069833.221584104,4854713.221584102,115.17378441382688
Tyrese Maxey,SG,22,2726880.0000000005,7531134.982598645,4804254.982598644,176.18138614822226
Brandon Ingram,SF,25,31650599.99999995,27156088.526668567,4494511.473331384,14.200398960308465
Seth Curry,SG,32,8496653.0,12651967.444361284,4155314.4443612844,48.90530947140344
Ivica Zubac,C,25,10123456.999999994,5999231.986330851,4124225.0136691434,40.73929502213666
Anthony Davis,C,29,37980719.99999995,33865016.92179111,4115703.0782088414,10.83629556840641
Josh Giddey,PF,20,6287400.000000004,10081981.288426174,3794581.28842617,60.35215332929618
Dillon Brooks,SF,27,11399999.999999994,15057304.099259594,3657304.0992596,32.08161490578598
Jeff Green,PF,36,4500000.0,7883830.50862788,3383830.5086278804,75.196233525064
Patrick Beverley,SG,34,13801613.999999978,10481083.594727067,3320530.4052729104,24.059000673927816
De'Anthony Melton,SG,24,8250000.000000006,4937840.144594656,3312159.8554053493,40.14739218673148
Cory Joseph,PG,31,5155500.0,8391116.858918093,3235616.858918093,62.760486061838684
Johnny Davis,SG,20,4810320.000000001,1618271.8600701971,3192048.139929804,66.35833250032853
Dylan Windler,SF,26,4037277.0,891772.6754667064,3145504.3245332935,77.91153107733983
Jalen Duren,C,19,4124279.9999999986,7239998.33156412,3115718.3315641214,75.54575178125933
Ousmane Dieng,PF,19,4569839.999999999,1624673.1223172995,2945166.8776827,64.44792110189198
JaMychal Green,PF,32,8199999.999999996,5343573.669222347,2856426.330777649,34.83446744850793
Cade Cunningham,PG,21,10552800.000000011,7893940.642685331,2658859.35731468,25.195771333813553
Ziaire Williams,SF,21,4591679.999999998,1941636.4222372836,2650043.5777627146,57.71403011017134
James Bouknight,SG,22,4362240.000000003,1725432.773315669,2636807.2266843338,60.446175054199955
Draymond Green,PF,32,25806467.999999985,23182644.034282673,2623823.965717312,10.167311410911843
Terrence Ross,SG,31,11500000.000000013,8881897.901755353,2618102.0982446596,22.76610520212745
Romeo Langford,SG,23,5634257.000000002,3190867.0153326266,2443389.984667375,43.366676114834206
Delon Wright,PG,30,7804878.000000004,10233987.871993981,2429109.8719939776,31.122970429441388
Onyeka Okongwu,C,22,6395160.000000003,3984333.812581032,2410826.1874189707,37.69766803987656
Hamidou Diallo,SF,24,5200000.0,2917583.408248484,2282416.591751516,43.89262676445223
Sterling Brown,SF,27,3122602.0,840988.1224472569,2281613.877552743,73.0677133221827
Kentavious Caldwell-Pope,SG,29,14004702.999999978,11787546.642710894,2217156.3572890833,15.831512865992853
Alex Caruso,PG,28,9030000.0,6865894.898221579,2164105.1017784206,23.965726487025698
Buddy Hield,SF,30,21177749.99999998,19185694.922014978,1992055.0779850036,9.406358456328011
Josh Hart,SF,27,12959999.999999985,14931220.99502965,1971220.9950296655,15.210038541895585
Anthony Lamb,SF,25,694878.0000000005,2646529.8115872988,1951651.8115872983,280.8625127845891
Rudy Gay,PF,36,6184500.0,4235654.194426931,1948845.8055730686,31.51177630484386
Stephen Curry,PG,34,48070014.00000004,46263162.878587455,1806851.1214125827,3.758790503810923
Matisse Thybulle,SF,25,4379526.0,2572901.951211789,1806624.0487882108,41.25158861457178
Malaki Branham,SG,19,2925600.000000002,4712414.443574896,1786814.4435748942,61.07514504972973
Royce O'Neale,SF,29,9199999.999999987,10962855.891916579,1762855.8919165917,19.161477086049935
Jaden Hardy,SG,20,1017780.9999999997,2738096.595404995,1720315.5954049956,169.026106343604
Jalen Green,SG,20,9441840.0,7734021.105112529,1707818.8948874706,18.08777626911143
Jaylen Nowell,SG,23,1930681.0000000012,3503850.9254322117,1573169.9254322106,81.48264397029907
Amir Coffey,SF,25,3395061.9999999986,1827240.5213594218,1567821.4786405768,46.17946531287433
Cody Zeller,C,30,743922.0000000002,2237150.021831247,1493228.0218312468,200.7237347237004
Garrett Temple,SG,36,5155500.0,3779181.8628326803,1376318.1371673197,26.69611361007312
Precious Achiuwa,C,23,2840160.0000000005,4176903.675093871,1336743.6750938706,47.06578767019712
Jerami Grant,PF,28,20955000.000000004,22271567.274687145,1316567.2746871412,6.2828311843814895
Grayson Allen,SG,27,8925000.000000006,7625359.79451528,1299640.2054847255,14.56179501943669
Moses Brown,C,23,824041.0000000003,2037096.7943511358,1213055.7943511354,147.20818434412058
Tony Bradley,C,25,2036317.9999999993,875137.4938486777,1161180.5061513216,57.023534936651444
Omer Yurtseven,C,24,1752637.9999999986,641659.5424526111,1110978.4575473876,63.388929005726716
Dalen Terry,SG,20,3191400.000000003,2239950.6067880057,951449.3932119971,29.812915748950186
Miles McBride,PG,22,1563517.9999999993,2492549.517400985,929031.5174009858,59.4193042485591
Isaiah Todd,PF,21,1575000.0000000012,647641.6113014215,927358.3886985796,58.87989769514787
Cole Anthony,PG,22,3613680.0000000005,4538634.8324942365,924954.8324942361,25.59592527545981
Jericho Sims,C,24,1639841.9999999993,2542773.223347466,902931.2233474667,55.0620866734397
Kennedy Chandler,PG,20,1199999.9999999998,2075462.5914145806,875462.5914145808,72.95521595121508
Jared Butler,PG,22,1674655.0000000014,885182.8674982406,789472.1325017608,47.14237454889277
Malachi Flynn,PG,24,2145719.9999999995,2909418.504310379,763698.5043103793,35.59171300590848
Julius Randle,PF,28,23760000.00000003,23023106.456652943,736893.5433470868,3.1014038019658496
Justin Holiday,SF,33,5987975.000000004,6698810.881246965,710835.8812469617,11.8710562627092
Jalen Williams,SG,21,4341480.000000002,5013435.437724964,671955.4377249619,15.477566123187522
John Konchar,SF,26,2300000.0000000005,2971472.269951505,671472.2699515047,29.194446519630628
Jock Landale,C,27,1563517.9999999993,2221986.9484580862,658468.9484580869,42.11457421392573
Caleb Martin,SF,27,6479000.000000004,7135274.243632578,656274.2436325746,10.12925210113558
KZ Okpala,PF,23,1902133.0000000007,1251615.1153534856,650517.8846465151,34.19939008715557
Leandro Bolmaro,SF,22,1709299.9999999993,1072348.771125012,636951.2288749872,37.26386408910007
Keon Johnson,SG,20,2681040.0000000023,2061671.3742056608,619368.6257943416,23.101804739740587
Frank Kaminsky,C,29,2463490.000000002,1862320.6701212234,601169.3298787784,24.403156898496768
Bruno Fernando,C,24,2717390.9999999986,2118937.1431547436,598453.856845255,22.02310439849309
Jeremiah Robinson-Earl,PF,22,1999999.9999999993,2577786.36120297,577786.3612029708,28.88931806014855
Jeff Dowtin,PG,25,508891.0000000001,1075737.5368257072,566846.5368257071,111.38859536240706
Sam Merrill,SG,26,1105522.0000000005,633150.1041427681,472371.8958572324,42.728403040123325
Meyers Leonard,C,30,713557.9999999995,1144574.2554301415,431016.25543014193,60.403815167112164
Trevor Hudgins,PG,23,508891.0000000001,932111.5248813692,423220.5248813691,83.16526031731136
Oshae Brissett,PF,24,1846737.999999999,2184280.629319188,337542.6293191891,18.277775695263177
AJ Griffin,SF,19,3536159.999999998,3871453.7299460713,335293.72994607314,9.481859699393503
Udoka Azubuike,C,23,2174880.0,2483240.1691859355,308360.1691859355,14.178261291930383
Nathan Knight,C,25,1836089.9999999993,1536019.1081959824,300070.8918040169,16.342929366426322
Damian Jones,C,27,2298385.0000000005,2561016.5687448415,262631.56874484103,11.426787450529002
JT Thor,PF,20,1563517.9999999993,1801536.4102220866,238018.4102220873,15.22325999586109
Grant Williams,PF,24,4306281.000000001,4082834.3509953246,223446.64900467638,5.188854350300789
Tyrese Martin,SG,23,1017780.9999999997,800824.7711877109,216956.22881228873,21.3165925491131
Reggie Jackson,PG,32,11457216.99999999,11254397.060540846,202819.93945914507,1.7702373923715091
Zach Collins,C,25,7349999.999999999,7517427.716994878,167427.71699487884,2.277928122379304
Jordan Nwora,SF,24,2800000.0000000014,2684400.2330888216,115599.76691117976,4.128563103970704
Ryan Rollins,PG,20,1017780.9999999997,983716.3125704345,34064.68742956512,3.3469565092652678
Lindy Waters III,SG,25,2316876.0000000014,2343502.6546253925,26626.654625391122,1.1492481524859814
