Feature,Importancia,Desvio
MP,0.4515126500123235,0.07017128719129946
Age,0.26192859372299143,0.03546464348668986
PTS_per_GP,0.040834882699143524,0.008259897275878836
USG%,0.02284818361302201,0.006559207055471794
3P%,0.013248316759337709,0.005616774514361628
FG%,0.010632181897011705,0.008789359661744735
AST_to_TOV,0.009514092884013836,0.004029721191819608
BLK_per_min,0.008614258642527151,0.002624033672268292
TRB_per_min,0.006689208148232828,0.005138336169704477
VORP,0.005910047490333215,0.0029993622647097903
Age_sq,0.004478314893208246,0.0039051760894007696
AST_per_GP,0.00443371796206764,0.0021060339688328705
FT%,0.0017357277697810703,0.004347156466833109
STL_BLK_sum,0.001256347515566214,0.0020186099333327485
STL_per_GP,0.001084421597903129,0.002739480266024286
Position_Clean_SG,5.526754340872131e-05,0.0001689642667747655
Experience_Category_Rookie,0.0,0.0
Position_Clean_PG,0.0,0.0
Position_Clean_PF,0.0,0.0
Toxic_Contract,0.0,0.0
Experience_Category_Veteran,0.0,0.0
Position_Clean_SF,0.0,0.0
BPM,-0.0014326602824847102,0.007790178863073573
BLK_per_GP,-0.001711314052511259,0.008300521400541805
AST_per_min,-0.006783455110366021,0.005346140953040012
STL_per_min,-0.008974517765629863,0.002886648277697032
TRB_per_GP,-0.01053517540308494,0.006922349691993396
GP,-0.04803174576700277,0.01429843062868965
