Age,GP,MP,PTS_per_GP,TRB_per_GP,AST_per_GP,STL_per_GP,BLK_per_GP,FG%,3P%,FT%,PER,TS%,USG%,WS,VORP,BPM,Position_Clean
26,4,9.8,1.375,0.375,0.2,0.0,0.125,0.571,0.444,1.0,18.5,0.739,18.1,0.1,0.1,3.5,PF
22,43,18.9,0.15813953488372093,0.09767441860465116,0.023255813953488372,0.013953488372093023,0.0069767441860465115,0.444,0.333,0.833,13.0,0.548,14.6,1.9,0.1,-1.5,PF
28,48,20.2,0.21458333333333335,0.04583333333333334,0.09375,0.014583333333333332,0.004166666666666667,0.415,0.368,0.766,13.2,0.512,24.8,1.1,0.2,-1.2,PG
27,71,29.3,0.1352112676056338,0.0676056338028169,0.022535211267605635,0.014084507042253521,0.005633802816901409,0.464,0.356,0.805,11.4,0.571,14.4,3.7,0.4,-1.2,SF
23,16,4.4,0.09375,0.03125,0.025,0.01875,0.00625,0.438,0.5,0.571,14.0,0.629,12.1,0.2,0.1,1.3,SG
25,3,3.0,0.43333333333333335,0.09999999999999999,0.0,0.0,0.0,1.0,0.3445,1.0,18.6,1.064,8.9,0.0,0.0,2.9,SF
23,61,31.9,0.42950819672131146,0.09672131147540984,0.13278688524590163,0.018032786885245903,0.0049180327868852455,0.466,0.307,0.748,23.3,0.557,34.9,6.0,3.8,5.7,PG
32,32,6.7,0.046875,0.0125,0.040625,0.00625,0.0,0.34,0.333,0.571,6.7,0.443,12.7,0.1,-0.2,-5.2,PG
25,12,2.8,0.13333333333333333,0.075,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.5,0.6,1.0,21.7,0.69,19.8,0.2,0.1,4.9,C
29,50,33.5,0.46399999999999997,0.078,0.10800000000000001,0.018000000000000002,0.013999999999999999,0.506,0.365,0.842,19.7,0.593,29.2,3.4,1.6,1.8,SG
25,35,23.5,0.22857142857142856,0.23714285714285716,0.04,0.017142857142857144,0.04,0.747,0.0,0.61,19.8,0.742,11.8,3.8,1.1,3.3,C
33,74,36.2,0.3310810810810811,0.06216216216216216,0.06891891891891891,0.014864864864864866,0.006756756756756757,0.504,0.324,0.872,20.6,0.592,27.8,8.5,2.6,2.0,SF
30,74,32.9,0.19864864864864865,0.07702702702702703,0.033783783783783786,0.012162162162162163,0.006756756756756757,0.501,0.389,0.876,14.8,0.602,18.2,5.9,1.7,0.7,SF
23,1,29.0,20.0,4.0,2.0,1.0,0.0,0.615,0.5,0.0,21.3,0.744,23.8,0.1,0.0,2.3,PF
27,43,8.0,0.04883720930232558,0.03255813953488372,0.011627906976744186,0.0069767441860465115,0.002325581395348837,0.333,0.37,0.667,6.2,0.471,14.5,0.1,-0.3,-5.3,SG
38,55,35.5,0.5254545454545454,0.1509090909090909,0.12363636363636363,0.016363636363636365,0.010909090909090908,0.5,0.321,0.768,23.9,0.583,33.3,5.6,4.0,6.1,PF
23,7,2.9,0.1285714285714286,0.04285714285714286,0.0,0.0,0.0,0.286,0.25,0.5,-0.1,0.381,17.4,0.0,-0.1,-14.4,C
24,68,32.6,0.21029411764705883,0.14411764705882354,0.024999999999999998,0.011764705882352941,0.01764705882352941,0.644,0.1,0.733,19.9,0.67,16.4,9.5,2.4,2.4,C
31,76,19.2,0.0881578947368421,0.053947368421052626,0.011842105263157895,0.007894736842105263,0.003947368421052632,0.732,0.0,0.667,15.5,0.738,12.6,5.1,0.3,-1.2,C
25,48,13.4,0.11666666666666665,0.0375,0.027083333333333334,0.0062499999999999995,0.0,0.412,0.364,0.75,10.3,0.536,19.8,0.6,-0.2,-3.4,PG
22,60,25.9,0.21666666666666667,0.08,0.065,0.01,0.008333333333333333,0.454,0.364,0.894,16.0,0.57,21.5,3.7,1.3,1.3,PG
33,58,36.8,0.3620689655172414,0.10517241379310344,0.18448275862068964,0.020689655172413793,0.008620689655172414,0.441,0.385,0.867,21.6,0.607,25.0,8.4,4.0,5.4,PG
25,63,22.9,0.1841269841269841,0.10158730158730159,0.04603174603174603,0.009523809523809523,0.012698412698412698,0.518,0.374,0.761,16.4,0.599,21.2,2.2,0.6,-0.2,C
21,37,15.2,0.15405405405405406,0.05675675675675676,0.024324324324324326,0.010810810810810811,0.005405405405405406,0.429,0.258,0.773,7.4,0.511,18.0,0.1,-0.5,-5.6,SF
27,37,32.2,0.4621621621621622,0.13513513513513514,0.06216216216216216,0.032432432432432434,0.021621621621621623,0.473,0.396,0.611,14.7,0.564,21.5,2.3,0.5,-0.5,SF
