Feature,Coeficiente
BPM,0.7731709226754319
PER,-0.7174827327477974
MP,0.675427794378652
Position_Clean_PG,-0.642866615156199
Position_Clean_SG,-0.6066379754682525
Position_Clean_PF,-0.48928606129603625
Position_Clean_SF,-0.48202200161287884
Age,0.40235615082546916
USG%,0.3383301034235669
TS%,-0.33570005241290213
GP,0.31266633500173013
FG%,0.2751116841391963
BLK_per_GP,-0.20593106757778787
STL_per_GP,-0.19409736733798494
TRB_per_GP,-0.17970113215091824
AST_per_GP,-0.15563928274895178
WS,-0.13045084566110193
VORP,0.10694790463780104
FT%,-0.0825433066531451
3P%,0.016839736331472285
PTS_per_GP,0.0008331658019722745
