Feature,Ridge,Lasso
Age,0.3548977551233882,0.3669139011076332
GP,0.30148698164141147,0.29730985633469587
MP,0.43665376560134295,0.5887905991126049
PTS_per_GP,-0.053352811544666,-0.0
TRB_per_GP,-0.14251077658509378,-0.07289690942908021
AST_per_GP,-0.16178807482343122,-0.3576357031791665
STL_per_GP,-0.160500657232981,-0.06641805430630525
BLK_per_GP,-0.14571663881235908,-0.06775507797355512
FG%,-0.011737079895519592,-0.0
3P%,0.020871243401680627,-0.0
FT%,-0.09705339940531604,-0.021445454198101982
PER,-0.014908516681155398,0.0
TS%,-0.07918897702160686,-0.0
USG%,0.11730866534865171,0.029130154542117433
WS,0.10023671388766353,0.0
VORP,0.0982910854829716,0.09165922511101186
BPM,0.09582820287369366,0.0
Position_Clean_PF,-0.0033754474331893674,-0.0
Position_Clean_PG,-0.039988361932366066,-0.0
Position_Clean_SF,0.002919805500921189,0.0
Position_Clean_SG,-0.048322879337987956,-0.0
