Feature,Importancia,Desvio
GP,0.4627970418384071,0.08403831582722111
MP,0.2201429639355786,0.04284588132236432
Age,0.09907854765314433,0.02355927136086553
PTS_per_GP,0.03377252493069214,0.005513914456677949
USG%,0.009622690502538667,0.0033793907935664837
AST_per_GP,0.008407238098832249,0.0011610774780036472
BLK_per_GP,0.0071523060114761835,0.005107307518416562
PER,0.0037978286287805195,0.0010220130206782501
WS,0.0025621359942377686,0.0011230579478623073
VORP,0.0024119899398918785,0.001600939870128616
BPM,0.001339102004189263,0.0005666109712941671
TRB_per_GP,0.0003218539020777178,0.003421897068663795
Position_Clean_SG,0.00017626177977918543,0.0009292973110323662
Position_Clean_PF,-0.0002453011607112532,0.00013729960943615173
FG%,-0.0005154454343825998,0.001516212640622973
Position_Clean_PG,-0.0007603067695488464,0.0006698717518644571
TS%,-0.0025882537812404348,0.000996545031634016
3P%,-0.0031040115710448735,0.0024534409517608714
Position_Clean_SF,-0.00326599177917144,0.00118009679959075
FT%,-0.005066415728682672,0.0029280825955902254
STL_per_GP,-0.008193220647244325,0.005384623888140741
