Name,number_of_matches,Aces_pct,ReturnPoints_Won,Cluster_KMeans,Dist,Cluster
Thanasi Kokkinakis,26,12.236989795918367,36.87525510204082,0,1.3165688381758713,0
Alexei Popyrin,27,10.194430992736079,35.41545893719807,0,1.361668509928835,0
Grigor Dimitrov,172,9.143259803921568,37.64191176470588,0,1.3981720994996378,0
Hubert Hurkacz,291,12.105038759689922,36.83992248062016,0,1.4379912017259626,0
Karen Khachanov,98,9.463001745200698,37.23466898954704,0,1.48555480490701,0
Tallon Griekspoor,77,8.211794871794872,36.246153846153845,0,1.5660049013175898,0
Tennys Sandgren,20,9.802213279678067,36.849295774647885,0,1.7306465052855153,0
Nicolas Jarry,58,11.098076923076922,35.731153846153845,0,1.775436277656706,0
Vasek Pospisil,24,12.353733528550514,35.529868228404105,0,1.8816397270403056,0
Ugo Humbert,52,8.906053268765133,37.25230024213075,0,1.9043791333297855,0
Mackenzie Mcdonald,24,6.286373165618448,38.77631027253668,1,1.214820726435805,1
Pablo Carreno Busta,66,5.341307578008915,39.413670133729575,1,1.2892980188507104,1
Lorenzo Musetti,80,4.57621776504298,38.92063037249284,1,1.3520118871134597,1
Albert Ramos,43,3.935287958115183,39.38157068062827,1,1.3633766593027825,1
Emil Ruusuvuori,43,5.939825581395349,39.464825581395345,1,1.465289989168922,1
Tommy Paul,72,6.674353876739562,39.220079522862825,1,1.5496962390899558,1
Filip Krajinovic,35,5.859824561403508,39.740175438596495,1,1.6113436294288015,1
John Millman,28,5.1451838879159375,39.78511383537653,1,1.6873397771943486,1
Kei Nishikori,116,4.184788732394366,39.69929676511955,1,1.7156534970018802,1
Alex De Minaur,113,4.934927234927234,40.06923076923077,1,1.7753674137670494,1
