Feature,Coeficiente,Abs
diff_losses,-0.4082081143899663,0.4082081143899663
diff_wins,0.4063709170336804,0.4063709170336804
diff_att_ibox_goal,0.028741612173422228,0.028741612173422228
diff_total_red_card,0.0,0.0
diff_total_scoring_att,0.0,0.0
diff_ontarget_scoring_att,0.0,0.0
diff_total_yel_card,0.0,0.0
diff_hit_woodwork,0.0,0.0
diff_att_hd_goal,0.0,0.0
diff_att_pen_goal,0.0,0.0
diff_att_freekick_goal,0.0,0.0
diff_att_obox_goal,0.0,0.0
diff_goal_fastbreak,0.0,0.0
diff_total_offside,0.0,0.0
diff_clean_sheet,0.0,0.0
diff_goals_conceded,0.0,0.0
diff_saves,0.0,0.0
diff_outfielder_block,0.0,0.0
diff_interception,0.0,0.0
diff_total_tackle,0.0,0.0
diff_last_man_tackle,0.0,0.0
diff_total_clearance,0.0,0.0
diff_head_clearance,0.0,0.0
diff_own_goals,0.0,0.0
diff_penalty_conceded,0.0,0.0
diff_pen_goals_conceded,0.0,0.0
diff_total_pass,0.0,0.0
diff_total_through_ball,0.0,0.0
diff_total_long_balls,0.0,0.0
diff_backward_pass,0.0,0.0
diff_total_cross,0.0,0.0
diff_corner_taken,0.0,0.0
diff_touches,0.0,0.0
diff_big_chance_missed,0.0,0.0
diff_clearance_off_line,0.0,0.0
diff_dispossessed,0.0,0.0
diff_penalty_save,0.0,0.0
diff_total_high_claim,0.0,0.0
diff_punches,0.0,0.0
