Feature,Coeficiente,Abs
diff_goals_conceded,-0.2858669620510475,0.2858669620510475
diff_losses,-0.20308914955213198,0.20308914955213198
diff_goals,0.13872679560698484,0.13872679560698484
diff_total_scoring_att,0.10202051481713027,0.10202051481713027
diff_wins,0.07865035562961482,0.07865035562961482
diff_corner_taken,0.033679197745676875,0.033679197745676875
diff_att_pen_goal,0.028014429067193546,0.028014429067193546
diff_total_pass,0.027105482350473675,0.027105482350473675
diff_last_man_tackle,0.020367858575355894,0.020367858575355894
diff_clearance_off_line,-0.011252445875413386,0.011252445875413386
diff_total_cross,0.006667207905479608,0.006667207905479608
diff_goal_fastbreak,0.006469844195874016,0.006469844195874016
diff_forma_5,0.0043989810157464455,0.0043989810157464455
diff_forma_5,0.0043989810157464455,0.0043989810157464455
diff_dispossessed,0.0018174813389001485,0.0018174813389001485
diff_total_offside,0.0,0.0
diff_att_obox_goal,0.0,0.0
diff_att_ibox_goal,0.0,0.0
diff_att_freekick_goal,0.0,0.0
diff_hit_woodwork,0.0,0.0
diff_att_hd_goal,0.0,0.0
diff_total_red_card,0.0,0.0
diff_ontarget_scoring_att,0.0,0.0
diff_total_yel_card,0.0,0.0
diff_total_clearance,0.0,0.0
diff_head_clearance,0.0,0.0
diff_total_tackle,0.0,0.0
diff_outfielder_block,0.0,0.0
diff_interception,0.0,0.0
diff_saves,0.0,0.0
diff_clean_sheet,0.0,0.0
diff_total_long_balls,0.0,0.0
diff_total_through_ball,0.0,0.0
diff_penalty_conceded,0.0,0.0
diff_pen_goals_conceded,0.0,0.0
diff_own_goals,0.0,0.0
diff_touches,0.0,0.0
diff_total_high_claim,0.0,0.0
diff_penalty_save,0.0,0.0
diff_punches,0.0,0.0
diff_gf_5,0.0,0.0
diff_ga_5,0.0,0.0
diff_gf_5,0.0,0.0
diff_ga_5,0.0,0.0
hh_wins_home,0.0,0.0
hh_goals_diff,0.0,0.0
rodada,0.0,0.0
