Feature,Importancia,Desvio
diff_corner_taken,0.004456944444444522,0.0013954560020665876
diff_goals_conceded,0.003715972222222241,0.0032571198276636036
diff_total_scoring_att,0.0029840277777778423,0.0021335952032924183
diff_touches,0.0028812500000000687,0.0015544497867929314
diff_ontarget_scoring_att,0.002856944444444487,0.0012112122473062808
diff_losses,0.0025340277777778477,0.006028081349562599
diff_total_pass,0.0021402777777778325,0.0016157971840931862
diff_att_ibox_goal,0.001381944444444505,0.001673662977527337
diff_att_obox_goal,0.0013715277777778367,0.0006787266382992731
diff_pen_goals_conceded,0.0012437500000000545,0.0006876364202474063
diff_punches,0.0011006944444444723,0.0007153064314649376
diff_total_offside,0.0010736111111111835,0.0005919192861852181
diff_att_hd_goal,0.0008791666666666976,0.0005201031919214822
diff_att_pen_goal,0.0008638888888889307,0.0006081937942449095
diff_total_through_ball,0.0007750000000000922,0.0006879081280175621
diff_clean_sheet,0.0006881944444445121,0.0016341015589896688
diff_total_high_claim,0.0005069444444444682,0.0005218508579098313
diff_hit_woodwork,0.0004159722222222384,0.000807853821596394
diff_head_clearance,0.00039513888888894624,0.0002974209161926854
diff_own_goals,0.00037013888888891565,0.00037188845421248676
diff_ga_5,0.0003597222222222696,0.00047192392539267895
diff_dispossessed,0.00034027777777781985,0.0005969233748414368
diff_last_man_tackle,0.0003284722222223091,0.0004155662552470012
hh_goals_diff,0.0003180555555556408,0.0011075759734831426
diff_wins,0.0003069444444445124,0.0037214354475287384
diff_total_tackle,0.00027291666666668936,0.0006438743437385154
diff_forma_5,0.0002569444444444957,0.0006363021304652105
diff_total_long_balls,0.0002194444444444943,0.001040829293056262
diff_total_yel_card,0.0001402777777778308,0.0006994734571690047
diff_clearance_off_line,0.00011319444444447546,0.0010844903454681535
diff_total_cross,0.00010694444444446783,0.000559854891913951
diff_gf_5,6.250000000003197e-05,0.001999476686937092
diff_total_red_card,4.305555555561558e-05,0.0004797781927073585
diff_ga_5,2.0833333333691862e-06,0.0006442412425088412
diff_total_clearance,-3.263888888883626e-05,0.0004722329451397031
diff_att_freekick_goal,-4.374999999994245e-05,0.00042614282168693975
diff_penalty_conceded,-0.00010347222222214513,0.0007693958694053607
diff_interception,-0.0001270833333332777,0.0005854133715473027
hh_wins_home,-0.0003340277777777345,0.00032136274862481096
diff_outfielder_block,-0.0004430555555554827,0.0015135378033266534
diff_forma_5,-0.0004708333333332426,0.0007278877673459479
diff_goals,-0.0005701388888888382,0.002200456449036196
diff_goal_fastbreak,-0.0006048611111110547,0.0009202395123177695
diff_gf_5,-0.0006423611111110228,0.0016884206736302507
diff_penalty_save,-0.0009555555555554984,0.0003630051822573442
diff_saves,-0.0019249999999999211,0.0008318145882703006
rodada,-0.0022347222222221853,0.0007934847544569198
